Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL989T,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Online Renewal Available
POL377V,Accident,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹25,000",Offline Renewal Only
POL920I,Health,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹25,000",Offline Renewal Only
POL862R,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹30,000",Offline Renewal Only
POL500M,Accident,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,Annual,"₹25,000",Online Renewal Available
POL696F,Health,Covers accidental damage and theft,War-related damages excluded,Annual,"₹20,000",Offline Renewal Only
POL957T,Accident,Covers death due to natural or accidental causes,War-related damages excluded,3 Years,"₹30,000",Offline Renewal Only
POL213S,Property,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹8,000",Offline Renewal Only
POL450L,Property,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹30,000",Offline Renewal Only
POL107D,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹12,000",Offline Renewal Only
POL357Y,Accident,"Covers fire, flood, and natural disasters",War-related damages excluded,20 Years,"₹18,000",Offline Renewal Only
POL403V,Accident,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,3 Years,"₹30,000",Offline Renewal Only
POL598I,Motor,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹10,000",Offline Renewal Only
POL954K,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Online Renewal Available
POL652R,Property,Covers accidental damage and theft,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL502F,Property,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹25,000",Online Renewal Available
POL965V,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹30,000",Online Renewal Available
POL777L,Motor,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹18,000",Online Renewal Available
POL652F,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,Annual,"₹30,000",Online Renewal Available
POL309R,Motor,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,3 Years,"₹12,000",Offline Renewal Only
POL897Z,Health,Covers accidental damage and theft,Dental and cosmetic procedures excluded,3 Years,"₹30,000",Offline Renewal Only
POL639C,Motor,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹8,000",Online Renewal Available
POL710H,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹8,000",Online Renewal Available
POL204C,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹18,000",Online Renewal Available
POL834F,Accident,Covers accidental damage and theft,Suicide not covered for first year,3 Years,"₹10,000",Offline Renewal Only
POL654A,Health,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,10 Years,"₹20,000",Offline Renewal Only
POL661Q,Health,Covers death due to natural or accidental causes,Suicide not covered for first year,5 Years,"₹15,000",Online Renewal Available
POL468I,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Offline Renewal Only
POL199M,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,3 Years,"₹25,000",Offline Renewal Only
POL558W,Property,Covers accidental damage and theft,Suicide not covered for first year,3 Years,"₹8,000",Offline Renewal Only
POL338Q,Motor,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹18,000",Offline Renewal Only
POL118H,Health,Covers death due to natural or accidental causes,Suicide not covered for first year,20 Years,"₹18,000",Offline Renewal Only
POL230A,Motor,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹10,000",Online Renewal Available
POL404Z,Accident,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹25,000",Offline Renewal Only
POL138A,Life,Covers accidental damage and theft,War-related damages excluded,10 Years,"₹8,000",Offline Renewal Only
POL487M,Accident,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹18,000",Offline Renewal Only
POL442J,Travel,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹30,000",Online Renewal Available
POL109X,Motor,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹30,000",Offline Renewal Only
POL533P,Accident,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹8,000",Offline Renewal Only
POL887X,Property,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹30,000",Offline Renewal Only
POL815Q,Travel,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹15,000",Offline Renewal Only
POL353E,Motor,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,10 Years,"₹25,000",Offline Renewal Only
POL490S,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹15,000",Online Renewal Available
POL557U,Accident,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹18,000",Offline Renewal Only
POL285I,Travel,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹20,000",Offline Renewal Only
POL738E,Life,Covers accidental damage and theft,War-related damages excluded,5 Years,"₹25,000",Online Renewal Available
POL292Z,Travel,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹20,000",Offline Renewal Only
POL567C,Health,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Offline Renewal Only
POL991I,Property,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,5 Years,"₹15,000",Online Renewal Available
POL504R,Property,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹10,000",Online Renewal Available
POL881R,Accident,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹10,000",Offline Renewal Only
POL499O,Property,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹8,000",Offline Renewal Only
POL895L,Life,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹20,000",Offline Renewal Only
POL212T,Travel,Covers emergency medical expenses abroad,War-related damages excluded,3 Years,"₹25,000",Offline Renewal Only
POL102I,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,10 Years,"₹10,000",Online Renewal Available
POL879F,Property,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Offline Renewal Only
POL174K,Health,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹18,000",Offline Renewal Only
POL359N,Life,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹20,000",Offline Renewal Only
POL921S,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Offline Renewal Only
POL619X,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Offline Renewal Only
POL997V,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹15,000",Online Renewal Available
POL247U,Accident,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹25,000",Online Renewal Available
POL282I,Life,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹15,000",Online Renewal Available
POL610E,Life,"Covers fire, flood, and natural disasters",War-related damages excluded,3 Years,"₹30,000",Online Renewal Available
POL601R,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,20 Years,"₹10,000",Online Renewal Available
POL209S,Property,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,5 Years,"₹12,000",Online Renewal Available
POL482O,Property,Covers death due to natural or accidental causes,Suicide not covered for first year,5 Years,"₹12,000",Offline Renewal Only
POL559I,Life,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹8,000",Offline Renewal Only
POL192B,Property,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹10,000",Online Renewal Available
POL520H,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹15,000",Offline Renewal Only
POL281O,Property,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹18,000",Online Renewal Available
POL721D,Health,Covers accidental damage and theft,War-related damages excluded,Annual,"₹15,000",Offline Renewal Only
POL994J,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹8,000",Offline Renewal Only
POL349G,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹18,000",Online Renewal Available
POL257L,Health,Covers death due to natural or accidental causes,War-related damages excluded,Annual,"₹25,000",Offline Renewal Only
POL568G,Property,"Covers fire, flood, and natural disasters",War-related damages excluded,20 Years,"₹18,000",Online Renewal Available
POL544A,Property,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹30,000",Offline Renewal Only
POL940V,Accident,"Covers fire, flood, and natural disasters",Suicide not covered for first year,10 Years,"₹25,000",Online Renewal Available
POL729X,Life,Covers accidental damage and theft,Claims under alcohol influence excluded,Annual,"₹12,000",Offline Renewal Only
POL189A,Health,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,10 Years,"₹25,000",Online Renewal Available
POL365G,Accident,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,Annual,"₹8,000",Offline Renewal Only
POL872Y,Property,Covers death due to natural or accidental causes,Adventure sports injuries excluded,3 Years,"₹30,000",Online Renewal Available
POL862V,Travel,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹30,000",Online Renewal Available
POL650S,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹8,000",Online Renewal Available
POL242K,Life,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,3 Years,"₹18,000",Online Renewal Available
POL599P,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹25,000",Offline Renewal Only
POL344M,Life,Covers death due to natural or accidental causes,War-related damages excluded,Annual,"₹18,000",Offline Renewal Only
POL519S,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹20,000",Online Renewal Available
POL702I,Property,Covers accidental damage and theft,Claims under alcohol influence excluded,10 Years,"₹12,000",Online Renewal Available
POL146J,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Online Renewal Available
POL358K,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹20,000",Online Renewal Available
POL967B,Accident,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹8,000",Online Renewal Available
POL341H,Health,"Covers fire, flood, and natural disasters",Suicide not covered for first year,Annual,"₹8,000",Offline Renewal Only
POL148Y,Property,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹20,000",Offline Renewal Only
POL928T,Property,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹30,000",Offline Renewal Only
POL808D,Accident,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Online Renewal Available
POL612Q,Life,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹20,000",Offline Renewal Only
POL360H,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,3 Years,"₹15,000",Online Renewal Available
POL615Y,Property,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,10 Years,"₹12,000",Online Renewal Available
POL956Q,Health,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Online Renewal Available
POL456W,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,20 Years,"₹12,000",Online Renewal Available
POL352V,Accident,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹30,000",Offline Renewal Only
POL572Z,Health,Covers personal accident injuries and liabilities,Suicide not covered for first year,Annual,"₹8,000",Offline Renewal Only
POL470Y,Life,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL274K,Accident,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹10,000",Online Renewal Available
POL523U,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,Annual,"₹18,000",Offline Renewal Only
POL271K,Motor,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹10,000",Online Renewal Available
POL629Z,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL863N,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,5 Years,"₹10,000",Online Renewal Available
POL980B,Accident,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,Annual,"₹30,000",Online Renewal Available
POL617I,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹20,000",Offline Renewal Only
POL827W,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹30,000",Offline Renewal Only
POL233J,Motor,Covers death due to natural or accidental causes,Adventure sports injuries excluded,20 Years,"₹20,000",Offline Renewal Only
POL213X,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹25,000",Online Renewal Available
POL141G,Life,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹10,000",Offline Renewal Only
POL151H,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹30,000",Offline Renewal Only
POL918K,Property,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹25,000",Online Renewal Available
POL743X,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹10,000",Offline Renewal Only
POL611E,Travel,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,3 Years,"₹15,000",Offline Renewal Only
POL136K,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹8,000",Online Renewal Available
POL419L,Property,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,Annual,"₹18,000",Offline Renewal Only
POL503K,Life,Covers personal accident injuries and liabilities,War-related damages excluded,Annual,"₹8,000",Online Renewal Available
POL499V,Health,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹10,000",Offline Renewal Only
POL909L,Property,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹25,000",Offline Renewal Only
POL679D,Life,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹8,000",Online Renewal Available
POL216T,Health,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹20,000",Offline Renewal Only
POL494X,Accident,Covers personal accident injuries and liabilities,War-related damages excluded,20 Years,"₹8,000",Online Renewal Available
POL396L,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹12,000",Online Renewal Available
POL679K,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL160S,Motor,Covers emergency medical expenses abroad,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL855D,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,20 Years,"₹18,000",Offline Renewal Only
POL258R,Property,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹20,000",Online Renewal Available
POL167L,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹12,000",Online Renewal Available
POL866B,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹18,000",Online Renewal Available
POL650A,Health,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹18,000",Offline Renewal Only
POL308D,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,Annual,"₹30,000",Offline Renewal Only
POL997X,Life,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹12,000",Offline Renewal Only
POL420P,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,20 Years,"₹10,000",Offline Renewal Only
POL918J,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,5 Years,"₹12,000",Online Renewal Available
POL190B,Life,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,Annual,"₹30,000",Online Renewal Available
POL112F,Life,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹20,000",Online Renewal Available
POL919N,Life,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹8,000",Online Renewal Available
POL506O,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,5 Years,"₹10,000",Online Renewal Available
POL802B,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹25,000",Online Renewal Available
POL296D,Health,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Offline Renewal Only
POL251R,Motor,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,20 Years,"₹12,000",Online Renewal Available
POL441L,Travel,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹8,000",Online Renewal Available
POL643A,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,3 Years,"₹8,000",Online Renewal Available
POL433F,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,Annual,"₹30,000",Online Renewal Available
POL725T,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL494X,Life,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹20,000",Online Renewal Available
POL427O,Health,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Online Renewal Available
POL249W,Life,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹20,000",Online Renewal Available
POL530Q,Accident,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,5 Years,"₹18,000",Online Renewal Available
POL452R,Property,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Online Renewal Available
POL147R,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,20 Years,"₹8,000",Offline Renewal Only
POL510K,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL466V,Accident,Covers accidental damage and theft,Suicide not covered for first year,Annual,"₹12,000",Offline Renewal Only
POL420E,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹30,000",Offline Renewal Only
POL843R,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹8,000",Offline Renewal Only
POL386B,Property,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹18,000",Offline Renewal Only
POL648T,Health,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,10 Years,"₹10,000",Offline Renewal Only
POL315Q,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹15,000",Offline Renewal Only
POL664H,Motor,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹15,000",Online Renewal Available
POL233L,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Online Renewal Available
POL355X,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹25,000",Offline Renewal Only
POL119V,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,20 Years,"₹30,000",Offline Renewal Only
POL995S,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹18,000",Online Renewal Available
POL791G,Accident,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Offline Renewal Only
POL752Z,Property,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL829U,Accident,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,10 Years,"₹25,000",Online Renewal Available
POL284P,Property,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹20,000",Offline Renewal Only
POL220F,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,20 Years,"₹20,000",Offline Renewal Only
POL424K,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,10 Years,"₹15,000",Online Renewal Available
POL434H,Property,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹30,000",Online Renewal Available
POL195Q,Property,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹12,000",Offline Renewal Only
POL801M,Life,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹25,000",Online Renewal Available
POL468X,Health,Covers accidental damage and theft,Claims under alcohol influence excluded,3 Years,"₹12,000",Online Renewal Available
POL879U,Property,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹25,000",Online Renewal Available
POL396P,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,Annual,"₹30,000",Online Renewal Available
POL753Q,Travel,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹25,000",Offline Renewal Only
POL715S,Motor,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹12,000",Online Renewal Available
POL858T,Life,Covers accidental damage and theft,Dental and cosmetic procedures excluded,10 Years,"₹10,000",Offline Renewal Only
POL802H,Motor,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,10 Years,"₹20,000",Online Renewal Available
POL635L,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,10 Years,"₹15,000",Offline Renewal Only
POL967C,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Offline Renewal Only
POL256P,Travel,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹15,000",Online Renewal Available
POL696X,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Offline Renewal Only
POL253Y,Health,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹25,000",Online Renewal Available
POL275M,Property,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,Annual,"₹8,000",Offline Renewal Only
POL391M,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹10,000",Online Renewal Available
POL424T,Motor,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,10 Years,"₹20,000",Online Renewal Available
POL460I,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹18,000",Online Renewal Available
POL511C,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹20,000",Offline Renewal Only
POL447P,Property,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,Annual,"₹20,000",Online Renewal Available
POL619M,Accident,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹8,000",Online Renewal Available
POL780K,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹12,000",Offline Renewal Only
POL543P,Life,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,20 Years,"₹30,000",Online Renewal Available
POL760K,Motor,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹25,000",Offline Renewal Only
POL153K,Accident,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹20,000",Offline Renewal Only
POL356J,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,3 Years,"₹18,000",Online Renewal Available
POL237Z,Property,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹25,000",Offline Renewal Only
POL767O,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹12,000",Online Renewal Available
POL280T,Motor,Covers accidental damage and theft,Suicide not covered for first year,10 Years,"₹15,000",Online Renewal Available
POL430X,Property,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹20,000",Offline Renewal Only
POL579U,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹10,000",Online Renewal Available
POL353S,Motor,Covers emergency medical expenses abroad,Adventure sports injuries excluded,10 Years,"₹30,000",Offline Renewal Only
POL447K,Motor,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹18,000",Online Renewal Available
POL531Y,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Offline Renewal Only
POL217B,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹25,000",Online Renewal Available
POL230Q,Property,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹15,000",Online Renewal Available
POL973X,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,20 Years,"₹20,000",Offline Renewal Only
POL851V,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Online Renewal Available
POL742H,Health,Covers accidental damage and theft,War-related damages excluded,5 Years,"₹15,000",Offline Renewal Only
POL526S,Motor,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,20 Years,"₹20,000",Offline Renewal Only
POL132Q,Life,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,5 Years,"₹12,000",Offline Renewal Only
POL759I,Motor,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹15,000",Online Renewal Available
POL111R,Accident,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹20,000",Online Renewal Available
POL810S,Travel,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹18,000",Online Renewal Available
POL656J,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,Annual,"₹25,000",Offline Renewal Only
POL521W,Property,Covers accidental damage and theft,Suicide not covered for first year,10 Years,"₹20,000",Offline Renewal Only
POL770K,Life,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹8,000",Offline Renewal Only
POL403X,Health,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,Annual,"₹30,000",Online Renewal Available
POL147T,Travel,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,10 Years,"₹15,000",Online Renewal Available
POL125I,Accident,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹12,000",Online Renewal Available
POL741X,Accident,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,10 Years,"₹20,000",Online Renewal Available
POL208L,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹10,000",Offline Renewal Only
POL114M,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹10,000",Offline Renewal Only
POL518S,Property,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹8,000",Online Renewal Available
POL208Z,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,10 Years,"₹15,000",Offline Renewal Only
POL539V,Motor,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Offline Renewal Only
POL781M,Property,Covers emergency medical expenses abroad,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL809L,Motor,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹25,000",Offline Renewal Only
POL191I,Health,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹12,000",Online Renewal Available
POL469V,Motor,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Online Renewal Available
